listPrice,rent,livingArea,rooms,published,constructionYear,objectType,soldDate,soldPrice,soldPriceSource,floor,additionalArea,apartmentNumber,location.address.streetAddress,location.position.latitude,location.position.longitude,location.position.isApproximate,location.region.municipalityName,location.region.countyName,location.distance.ocean,source.url,price_per_sqm
5400000,3834.0,93.4,4.0,2017-10-27 18:41:18,1968.0,Lägenhet,2017-11-11,5400000,bid,1.0,0.0,,Docentbacken 13,59.3715256,18.0573378,True,Stockholm,Stockholms län,354,http://www.karlssonuddare.se/,57815.84582441113
1995000,2232.0,37.0,2.0,2014-05-17 17:24:01,1935.0,Lägenhet,2014-06-03,2125000,bid,2.0,,,Ekhagsvägen 8,59.37178,18.05527,,Stockholm,Stockholms län,161,http://www.notar.se/,57432.43243243243
2900000,2663.0,54.0,2.0,2015-12-18 16:21:31,1935.0,Lägenhet,2016-01-11,3100000,bid,1.0,,,Torphagsvägen 10,59.3723882,18.0524828,True,Stockholm,Stockholms län,181,http://www.notar.se/,57407.40740740741
4060000,4191.0,71.0,2.5,2017-12-01 15:24:46,1935.0,Lägenhet,2017-12-20,4060000,bid,2.0,0.0,1204.0,Ekhagsvägen 12,59.3722721,18.0556589,True,Stockholm,Stockholms län,101,http://www.notar.se/,57183.09859154929
4975000,5573.0,102.0,4.0,2015-05-22 19:24:01,1931.0,Lägenhet,2015-06-11,5800000,bid,1.0,,1103.0,Ekhagsvägen 3,59.3715168,18.05462518,,Stockholm,Stockholms län,198,http://www.erikolsson.se/,56862.74509803922
1495000,1388.0,26.0,1.0,2012-10-20 07:36:37,1935.0,Lägenhet,2012-11-30,1475000,bid,,,,Ekhagsvägen 12,59.3722721,18.0556589,True,Stockholm,Stockholms län,101,http://www.notar.se/,56730.769230769234
5695000,4781.0,112.0,5.0,2016-01-08 19:10:04,1969.0,Lägenhet,2016-01-22,6350000,bid,6.0,,1601.0,Docentbacken 9,59.37124248,18.05782092,,Stockholm,Stockholms län,218,http://www.fastighetsbyran.se/,56696.42857142857
3500000,2785.0,60.0,2.0,2015-09-30 18:02:35,,Lägenhet,2016-01-14,3400000,bid,1.0,,,Docentbacken 1B,59.3705635,18.0585287,True,Stockholm,Stockholms län,298,http://www.svenskfast.se/,56666.666666666664
2900000,2712.0,55.0,2.0,2015-11-06 12:54:08,1935.0,Lägenhet,2016-01-11,3100000,bid,1.0,,,Torphagsvägen 10,59.3723882,18.0524828,True,Stockholm,Stockholms län,181,http://www.notar.se/,56363.63636363636
5495000,6465.0,96.0,3.0,2018-05-19 12:47:47,1936.0,Lägenhet,2018-06-04,5400000,bid,2.0,,1205.0,Åminnevägen 17,59.37119438,18.05355191,,Stockholm,Stockholms län,255,https://nestorfastighetsmakleri.se/,56250.0
5295000,4251.0,98.0,4.0,2016-03-24 22:06:47,1968.0,Lägenhet,2016-04-12,5500000,bid,4.0,,1403.0,Docentbacken 7,59.3711498,18.0581425,True,Stockholm,Stockholms län,229,http://www.notar.se/,56122.448979591834
